Category,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Category,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Category,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Category,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Category,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Category,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11,Category,Sep '11,Jun '11,Mar '11,Dec '10,Sep '10,Category,Jun '10,Mar '10,Dec '09,Sep '09,Jun '09,Category,Mar '09,Dec '08,Sep '08,Jun '08,Mar '08,Category,Dec '07,Sep '07,Jun '07,Mar '07,Dec '06,Category,Sep '06,Jun '06,Mar '06,Dec '05,Sep '05,Category,Jun '05,Mar '05,Dec '04,Sep '04,Jun '04,Category,Mar '04,Dec '03,Sep '03,Jun '03,Mar '03,Category,Dec '02,Sep '02,Jun '02,Mar '02,Dec '01,Category,Sep '01,Jun '01,Mar '01,Dec '00,Sep '00,Category,Jun '00,Mar '00,Dec '99,Sep '99,Jun '99,Category,Mar '99,Dec '98,Sep '98,Jun '98,Mar '98,Category,Dec '97,Sep '97,Jun '97,Category,Dec '97,Sep '97,Jun '97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Sales/Income from operations,"4,235.32","4,536.05","3,914.17","3,706.24","3,775.35",Net Sales/Income from operations,"3,587.43","3,602.20","3,202.88","3,320.28","3,190.28",Net Sales/Income from operations,"3,054.14","2,937.16","3,034.56","3,165.63","3,179.59",Net Sales/Income from operations,"3,051.38","2,846.20","2,979.10","2,953.50","2,706.86",Net Sales/Income from operations,"2,686.60","2,807.66","2,504.89","2,300.80","2,216.90",Net Sales/Income from operations,"2,523.91","2,134.44","2,045.88","2,067.28","2,109.52",Net Sales/Income from operations,"1,843.56","1,917.45","1,607.39","1,754.22","1,469.49",Net Sales/Income from operations,"1,491.14","1,296.09","1,277.71","1,386.46","1,164.82",Net Sales/Income from operations,"1,100.07","1,006.40","1,168.34",995.24,868.51,Net Sales/Income from operations,916.24,891.20,740.21,727.03,705.97,Net Sales/Income from operations,784.90,603.40,564.48,640.63,602.47,Net Sales/Income from operations,510.59,442.49,595.95,534.41,415.21,Net Sales/Income from operations,416.87,451.07,494.23,378.86,358.74,Net Sales/Income from operations,444.46,425.78,344.82,336.96,378.80,Net Sales/Income from operations,342.15,277.26,288.21,313.64,348.09,Net Sales/Income from operations,281.22,262.98,372.73,346.14,228.72,Net Sales/Income from operations,224.17,206.66,257.35,206.56,195.98,Net Sales/Income from operations,201.38,223.27,181.82,Net Sales/Income from operations,201.38,223.27,181.82
Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,50.80,Other Operating Income,47.87,46.58,--,52.88,44.56,Other Operating Income,41.82,40.77,46.31,42.21,33.87,Other Operating Income,37.44,35.35,27.14,18.88,15.61,Other Operating Income,13.06,11.93,9.97,8.52,--,Other Operating Income,--,9.03,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,--,--,Other Operating Income,--,--,--,Other Operating Income,--,--,--
Total Income From Operations,"4,235.32","4,536.05","3,914.17","3,706.24","3,775.35",Total Income From Operations,"3,587.43","3,602.20","3,202.88","3,320.28","3,241.08",Total Income From Operations,"3,102.01","2,983.74","3,034.56","3,218.51","3,224.15",Total Income From Operations,"3,093.20","2,886.97","3,025.41","2,995.71","2,740.73",Total Income From Operations,"2,724.04","2,843.01","2,532.03","2,319.68","2,232.51",Total Income From Operations,"2,536.97","2,146.37","2,055.85","2,075.80","2,109.52",Total Income From Operations,"1,843.56","1,926.48","1,607.39","1,754.22","1,469.49",Total Income From Operations,"1,491.14","1,296.09","1,277.71","1,386.46","1,164.82",Total Income From Operations,"1,100.07","1,006.40","1,168.34",995.24,868.51,Total Income From Operations,--,--,--,--,--,Total Income From Operations,--,--,--,--,--,Total Income From Operations,--,--,--,--,--,Total Income From Operations,--,--,--,--,--,Total Income From Operations,--,--,--,--,--,Total Income From Operations,--,--,--,--,--,Total Income From Operations,--,--,--,--,--,Total Income From Operations,--,--,--,--,--,Total Income From Operations,--,--,--,Total Income From Operations,--,--,--
EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,,,EXPENDITURE,,,,EXPENDITURE,,,
Consumption of Raw Materials,"2,244.32","2,204.19","2,182.94","2,016.37","1,952.97",Consumption of Raw Materials,"1,736.58","1,637.61","1,773.00","1,795.12","1,544.89",Consumption of Raw Materials,"1,802.57","1,594.87","1,369.17","1,503.35","1,583.28",Consumption of Raw Materials,"1,410.14","1,442.59","1,497.34","1,827.56","1,424.23",Consumption of Raw Materials,"1,554.92","1,525.11","1,487.94","1,190.74","1,279.97",Consumption of Raw Materials,"1,265.49","1,266.90","1,313.12","1,204.32","1,148.41",Consumption of Raw Materials,"1,179.10","1,190.24",974.24,853.40,977.32,Consumption of Raw Materials,876.57,719.24,704.06,772.56,659.39,Consumption of Raw Materials,544.35,638.31,794.12,571.64,501.96,Consumption of Raw Materials,471.04,518.87,464.95,445.16,405.84,Consumption of Raw Materials,455.61,406.13,326.99,303.87,412.94,Consumption of Raw Materials,307.43,291.64,353.62,317.95,268.94,Consumption of Raw Materials,228.11,214.62,310.58,240.17,207.83,Consumption of Raw Materials,199.37,267.32,203.39,153.63,179.84,Consumption of Raw Materials,188.57,172.34,155.11,173.37,201.58,Consumption of Raw Materials,--,--,--,--,--,Consumption of Raw Materials,--,--,--,--,--,Consumption of Raw Materials,--,--,--,Consumption of Raw Materials,--,--,--
Purchase of Traded Goods,271.70,297.96,229.50,211.50,215.81,Purchase of Traded Goods,176.76,173.35,176.65,156.75,191.95,Purchase of Traded Goods,135.44,162.39,137.51,137.34,134.90,Purchase of Traded Goods,114.67,90.55,76.27,101.16,112.58,Purchase of Traded Goods,72.03,63.20,57.01,64.34,51.79,Purchase of Traded Goods,44.12,45.36,40.76,27.83,25.94,Purchase of Traded Goods,33.41,33.23,23.20,23.69,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,--,--,Purchase of Traded Goods,--,--,--,Purchase of Traded Goods,--,--,--
Increase/Decrease in Stocks,-103.23,126.28,-95.55,-175.36,-80.33,Increase/Decrease in Stocks,112.83,269.95,-148.33,-108.44,64.68,Increase/Decrease in Stocks,-252.14,-219.68,129.60,155.70,-118.95,Increase/Decrease in Stocks,28.16,26.88,96.06,-274.79,19.42,Increase/Decrease in Stocks,-55.66,77.83,-137.27,39.76,-73.78,Increase/Decrease in Stocks,172.79,-43.42,-191.76,1.89,78.95,Increase/Decrease in Stocks,-121.32,-73.92,-50.96,167.46,-194.05,Increase/Decrease in Stocks,-62.67,-16.54,-11.95,-25.94,-52.73,Increase/Decrease in Stocks,106.17,-17.94,-111.34,5.54,-20.81,Increase/Decrease in Stocks,44.20,-21.48,-40.54,-8.58,15.95,Increase/Decrease in Stocks,6.85,-66.23,-0.99,80.25,-75.45,Increase/Decrease in Stocks,-4.29,-41.33,9.41,-0.86,-37.43,Increase/Decrease in Stocks,14.54,43.33,-33.95,-27.43,-14.81,Increase/Decrease in Stocks,53.53,-44.96,-24.14,19.85,46.02,Increase/Decrease in Stocks,1.97,-11.93,4.88,15.12,3.63,Increase/Decrease in Stocks,--,--,--,--,--,Increase/Decrease in Stocks,--,--,--,--,--,Increase/Decrease in Stocks,--,--,--,Increase/Decrease in Stocks,--,--,--
Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,--,--,Power & Fuel,--,--,--,Power & Fuel,--,--,--
Employees Cost,243.62,227.97,215.47,215.73,193.30,Employees Cost,189.74,202.03,206.01,181.14,180.01,Employees Cost,192.69,188.99,180.29,162.11,162.25,Employees Cost,162.18,145.52,153.94,156.92,150.55,Employees Cost,102.48,125.39,119.27,135.29,104.85,Employees Cost,97.57,97.80,104.37,85.33,83.22,Employees Cost,84.95,88.13,72.45,73.77,71.66,Employees Cost,82.57,67.06,63.22,61.51,69.05,Employees Cost,62.15,59.76,61.28,55.71,50.08,Employees Cost,49.41,49.01,46.18,39.90,37.97,Employees Cost,41.47,35.62,29.92,31.64,34.33,Employees Cost,33.09,32.09,28.78,28.31,28.76,Employees Cost,21.68,25.52,27.65,26.71,28.42,Employees Cost,24.97,26.04,26.56,24.91,22.46,Employees Cost,22.13,22.54,18.77,18.27,18.57,Employees Cost,--,--,--,--,--,Employees Cost,--,--,--,--,--,Employees Cost,--,--,--,Employees Cost,--,--,--
